CustomerID,Recency,Frequency,Monetary,Tenure,ActiveMonths,ProductDiversity,AvgOrderValue,AvgDaysBetweenOrders,Regularity,IsUK,T_BGNBD,Recency_BGNBD,ActualCLV,IsVIP
13085,102,7,2295.3,545,3,46,327.9,73.66666666666667,2.085691130454507,1,545,443,137.98,0
13078,7,41,21371.67,545,18,131,521.260243902439,13.05,0.5129977685309631,1,545,538,8160.78,1
15362,255,2,613.0799999999999,545,2,38,306.54,290.0,,1,545,290,0.0,0
18102,13,100,413806.46,545,16,310,4138.0646,5.090909090909091,1.9110684666694204,1,545,532,194545.75,1
12682,8,31,16564.14,545,18,243,534.3270967741935,17.4,0.6809464681875984,0,545,537,7010.93,1
18087,97,16,13908.72,545,9,43,869.2950000000001,29.4,1.131599769405702,1,545,448,852.8,0
13635,249,3,1928.13,545,2,89,642.71,147.5,1.2799831225546316,1,545,296,1071.03,0
14110,27,23,9006.32,545,11,148,391.5791304347826,23.13636363636364,1.4889304752633683,1,545,518,3981.63,1
12636,545,1,141.0,545,1,1,141.0,0.0,0.0,0,545,0,0.0,0
17519,13,12,4221.049999999999,545,12,124,351.7541666666666,47.90909090909091,0.5999962793351172,1,545,532,888.4200000000001,0
13758,8,13,8577.95,545,10,199,659.8423076923077,44.333333333333336,1.0531392194541764,1,545,537,839.03,0
12362,32,3,1104.34,545,3,52,368.1133333333334,256.0,1.0330388131397217,0,545,512,4251.89,1
15413,498,5,6798.72,545,2,20,1359.744,11.0,0.8495664102349203,1,545,47,0.0,0
16321,112,5,454.55000000000007,545,4,14,90.91,108.0,1.2809497219699555,0,545,433,150.0,0
16167,221,5,1386.1199999999997,545,4,51,277.22399999999993,80.75,1.031630483723997,1,545,324,0.0,0
17865,11,33,20009.73,545,16,326,606.3554545454546,16.34375,0.9384844097418268,1,545,534,6364.66,1
17592,545,1,148.3,545,1,13,148.3,0.0,0.0,1,545,0,0.0,0
13767,10,58,25561.46,545,16,112,440.71482758620687,8.964912280701755,1.2793039196946363,1,545,535,9979.070000000002,1
17238,13,23,5402.05,545,12,397,234.8717391304348,23.818181818181817,1.0335926723455422,1,545,532,2381.05,1
15712,94,8,2699.8500000000004,545,8,71,337.48125000000005,63.85714285714285,0.5828245006866678,1,545,451,772.5600000000001,0
15311,3,160,85669.95,545,18,698,535.4371874999999,2.8867924528301887,1.0779441375726515,1,545,542,30606.61,1
16329,234,4,1703.0700000000002,545,4,83,425.7675,103.0,0.9068189847639314,1,545,311,0.0,0
17700,20,12,5270.9,545,11,211,439.2416666666666,47.36363636363637,0.5754490195001768,1,545,525,1409.07,0
14911,4,258,190947.35,545,18,1978,740.1060077519379,1.7237354085603114,1.7819791412737056,0,545,541,105025.28,1
15998,69,13,7000.59,545,11,596,538.506923076923,39.083333333333336,0.7731112451699419,1,545,476,1307.75,0
12931,10,49,54212.08000000001,545,16,23,1106.368979591837,10.729166666666666,1.3257555229770923,1,545,534,38135.26,1
12533,434,2,1367.89,545,2,63,683.945,110.0,,0,545,110,0.0,0
17984,199,4,1038.59,545,3,165,259.6475,114.66666666666669,1.0540546953090633,1,545,346,152.68,0
14871,62,7,985.19,545,6,89,140.74142857142857,80.0,0.5344389581607987,1,545,483,273.78000000000003,0
13394,21,14,5037.01,545,13,199,359.7864285714286,39.76923076923077,0.5583256271505266,1,545,524,1584.69,0
16011,40,19,3508.59,545,13,148,184.66263157894736,27.61111111111111,0.7444280937946746,1,545,505,2371.87,1
16393,22,15,3354.67,545,11,271,223.64466666666667,36.92857142857143,0.7531795144422198,1,545,523,2206.99,1
14040,22,28,10480.03,545,15,298,374.2867857142857,18.925925925925927,0.8441206620098562,1,545,523,2165.54,1
12913,89,11,5083.62,545,9,31,462.1472727272727,45.2,1.054484597300293,1,545,455,1617.24,0
15061,18,108,114007.3,545,17,116,1055.6231481481482,4.644859813084112,1.6171241889727597,1,545,526,23811.22,1
14341,22,14,2988.1900000000005,545,8,126,213.4421428571429,39.92307692307692,1.0996242262095934,1,545,523,1479.13,0
17804,183,3,385.23,545,3,82,128.41,181.0,0.1953333649686595,1,545,362,0.0,0
14156,14,119,240473.97000000003,545,18,1218,2020.7896638655463,4.067796610169491,1.4133854661002694,0,545,530,73472.4,1
13599,5,19,7019.620000000001,545,12,139,369.4536842105264,29.72222222222222,1.0514034084650634,1,545,540,3148.01,1
17063,96,8,2496.76,545,7,111,312.095,63.71428571428572,0.6731649714946201,1,545,449,1141.77,0
15719,6,25,7608.42,545,17,366,304.3368,21.95833333333333,0.4426519766329161,1,545,538,2614.64,1
12490,21,13,5601.43,545,11,136,430.8792307692308,43.25,0.7593424694891138,0,545,523,4222.21,1
15793,75,6,1740.6,545,6,9,290.1,93.6,0.4654859480145052,1,545,469,658.97,0
17056,545,1,128.60000000000002,545,1,8,128.60000000000002,0.0,0.0,1,545,0,0.0,0
13526,545,2,1182.0000000000002,545,1,29,591.0000000000001,0.0,0.0,1,545,0,0.0,0
14654,545,1,246.86,545,1,27,246.86,0.0,0.0,1,545,0,0.0,0
17998,187,3,639.24,545,2,57,213.08,178.5,1.414213562373095,1,545,358,0.0,0
17742,139,10,2045.94,545,10,52,204.594,44.55555555555556,0.559423938810081,1,545,405,52.54,0
15326,140,5,1700.52,545,4,94,340.104,100.75,1.16858784656683,1,545,404,0.0,0
14478,189,4,1276.6600000000003,545,4,59,319.1650000000001,118.33333333333331,0.6049390053209486,1,545,356,0.0,0
15967,125,11,2796.57,545,9,290,254.2336363636364,41.5,0.6674162331826162,1,545,419,245.03,0
17611,8,19,6409.700000000001,545,14,637,337.3526315789474,29.33333333333333,0.6727335958656442,1,545,537,1962.28,1
15051,186,6,2543.55,545,6,113,423.925,71.4,0.4961226368092634,1,545,359,1391.61,0
13097,40,23,10383.06,545,14,338,451.4373913043479,22.59090909090909,0.7688486577243331,1,545,505,3006.16,1
13590,6,15,5279.7,545,11,241,351.98,38.07142857142857,0.7953307226775214,1,545,538,1069.89,0
15984,40,25,6703.73,545,16,318,268.1492,20.70833333333333,0.8572919322163223,1,545,504,2055.59,1
16887,207,2,465.84,545,2,65,232.92,337.0,,1,545,337,194.88,0
12921,19,50,24848.39,545,17,231,496.9678,10.387755102040815,1.1809608627103905,1,545,525,11072.65,1
14543,21,31,13498.240000000002,545,17,94,435.4270967741936,17.0,0.9385104227583512,1,545,524,1408.53,0
15945,172,4,827.2700000000001,545,4,24,206.8175,124.0,0.8957423281381283,1,545,372,0.0,0
18037,32,14,158.21999999999997,545,9,30,11.30142857142857,39.0,0.9240853940368696,1,545,513,9.2,0
15662,468,2,283.73,545,2,12,141.865,77.0,,1,545,77,0.0,0
15380,172,7,2018.9,545,6,6,288.4142857142857,61.833333333333336,0.6664498839882894,1,545,373,1460.16,0
13110,64,8,2201.2900000000004,545,7,128,275.16125000000005,68.42857142857143,0.6400577682358857,1,545,481,756.1800000000001,0
12836,26,13,5634.16,545,12,243,433.3969230769231,42.75,0.5750706585955728,1,545,519,951.46,0
15005,4,40,10444.43,545,18,488,261.11075,13.35897435897436,0.515906029771502,1,545,540,3661.77,1
16620,67,5,1675.73,545,5,74,335.146,119.0,0.3423102135163614,1,545,477,83.2,0
12758,83,6,8681.84,545,6,168,1446.9733333333334,92.0,0.6486772202766644,0,545,461,1221.4,0
17961,3,81,2573.49,545,18,431,31.77148148148148,6.3375,0.9954099566775948,1,545,542,422.05,0
15601,10,25,12932.15,545,14,246,517.2860000000001,21.791666666666668,0.8054617697169117,1,545,534,2027.97,1
13585,337,3,684.54,545,3,29,228.18,103.5,0.772010302165023,1,545,207,0.0,0
13442,474,3,419.87000000000006,545,3,33,139.95666666666668,35.0,0.0,1,545,70,0.0,0
13381,14,8,5656.41,545,8,125,707.05125,75.28571428571429,0.2702325356048959,1,545,531,2567.96,1
16763,5,2,964.7000000000002,545,2,44,482.3500000000001,539.0,,1,545,539,0.0,0
17243,43,54,15077.11,545,17,298,279.20574074074074,8.981132075471699,0.6390627953731728,1,545,501,5812.75,1
14865,179,3,114.72,545,3,3,38.24,182.5,1.398715331552568,1,545,366,15.0,0
17345,3,8,1195.27,545,5,128,149.40875,77.14285714285714,1.0776276888409764,1,545,541,409.41,0
13819,108,6,2642.3500000000004,545,4,47,440.3916666666667,86.8,1.7072551063918624,1,545,436,0.0,0
15808,113,21,18409.93,545,14,348,876.6633333333333,21.05,0.4877599678419876,1,545,431,0.0,0
17191,87,12,3561.8,545,8,209,296.81666666666666,41.18181818181818,0.785030678003717,1,545,457,1274.25,0
13748,39,7,1900.95,545,5,32,271.56428571428575,84.0,1.4780134673012315,1,545,505,367.4,0
15265,42,3,2551.76,545,3,146,850.5866666666666,251.0,0.6648494038248017,1,545,502,793.88,0
15750,90,13,4944.281,545,8,280,380.3293076923077,37.333333333333336,1.2374954320486895,1,545,454,1852.91,1
17428,19,30,21851.730000000003,545,13,330,728.3910000000001,17.82758620689655,1.3118214149930758,1,545,525,9552.43,1
15485,143,6,4475.139999999999,545,5,56,745.8566666666666,80.0,1.338288319085241,1,545,401,1296.37,0
17246,353,2,38.92,545,2,6,19.46,191.0,,1,545,191,0.0,0
14061,314,3,917.43,545,2,17,305.81,114.5,1.2536478304006038,1,545,230,0.0,0
14108,538,2,447.05,545,1,18,223.525,6.0,,1,545,6,597.91,0
13648,207,8,1764.0200000000002,545,6,95,220.50250000000003,47.71428571428572,0.9866424140155589,1,545,337,0.0,0
16563,207,5,3345.0199999999995,545,5,46,669.0039999999999,84.0,0.376587092511692,1,545,337,1077.74,0
16701,12,18,6413.6,545,14,110,356.3111111111112,30.823529411764707,0.6413328295083862,1,545,532,3503.13,1
12842,115,3,1109.73,544,3,27,369.91,214.5,0.7812788211711503,1,544,429,808.26,0
14302,237,3,742.9,544,3,25,247.63333333333333,153.0,0.7209716200333426,1,544,306,0.0,0
14135,27,17,7074.87,544,10,111,416.1688235294118,31.9375,1.1362954901312703,1,544,517,2569.05,1
14831,487,3,1676.5699999999997,544,2,67,558.8566666666666,28.5,1.414213562373095,1,544,57,0.0,0
15602,7,12,2475.59,544,9,53,206.29916666666665,48.18181818181818,0.8484500978429586,1,544,537,754.92,0
13777,14,47,40417.91,544,17,44,859.9555319148936,11.108695652173912,0.952153508303174,1,544,529,15795.27,1
14000,18,5,2046.34,544,5,28,409.268,131.25,0.4076665155568625,1,544,526,0.0,0
16823,34,7,2260.09,544,6,149,322.87,84.5,0.8101367522637395,1,544,510,0.0,0
16163,39,6,2849.58,544,5,59,474.93,100.6,0.7039289522300073,1,544,505,0.0,0
